id,store_id,cover,name,images,original_price,sell_price,discount,kind,cate_id,sub_cate_id,in_home,is_single,have_gram,gram,have_kg,kg,have_pcs,pcs,have_liter,liter,have_ml,ml,descriptions,key_features,disclaimer,exp_date,type_of,in_stoke,rating,total_rating,status,in_offer,variations_types,size,tax_class,tags,hsn_code
279819,49,279819.jpg,"24 Mantra Organic Mustard Seed whole, Small, 100 g","[""279819.jpg"",""279819-1.jpg"",""279819-2.jpg"",""279819-3.jpg"","" "",]",25,20,20,1,4,27,0,0,1,100,0,0,0,0,0,0,0,0,Used finest quality ingredients, , ,20/12/2050,0,1,5,4,1,0,[],0,5,7589|292|284,1517
100012,49,100012.jpg,Mccain French Fries S.Cut 420g,"[""100012.jpg"",""100012-1.jpg"",""100012-2.jpg"",""100012-3.jpg"","" "",]",100,95,5,1,5,104,1,0,1,420,0,0,0,0,0,0,0,0,,,,20/12/2050,0,1,5,4,1,0,[],0,0,6002|1491,0
100554,49,100554.jpg,"Saffola Tasty, Pro Fitness Conscious Edible Oil, Jar, 1 L","[""100554.jpg"",""100554-1.jpg"",""100554-2.jpg"",""100554-3.jpg"","" "",]",150,149,1,1,2,76,0,0,0,0,0,0,0,0,1,1,0,0,,,,20/12/2050,0,1,5,4,1,0,[],0,5,6003|356|416,1512
101030,49,101030.jpg,Germisol Black Phenyl 5 L,"[""101030.jpg"",""101030-1.jpg"",""101030-2.jpg"",""101030-3.jpg"","" "",]",585,512,12,1,7,20,1,0,0,0,0,0,0,0,1,5,0,0,,,,20/12/2050,0,0,5,4,1,0,[],0,0,6005|1078|1079,0
101165,49,101165.jpg,Tide Plus Detergent Powder (2 kg),"[""101165.jpg"",""101165-1.jpg"",""101165-2.jpg"",""101165-3.jpg"","" "",]",215,209,3,1,7,50,1,0,0,0,1,2,0,0,0,0,0,0,,,,20/12/2050,0,1,5,4,1,0,[],0,18,6006|1066|1003,1234
101263,49,101263.jpg,Haldiram All In One 350g,"[""101263.jpg"",""101263-1.jpg"",""101263-2.jpg"",""101263-3.jpg"","" "",]",90,87,3,1,5,43,1,0,1,350,0,0,0,0,0,0,0,0,,,,20/12/2050,0,1,5,4,1,0,[],0,0,6007|1422|1448,0
101306,49,101306.jpg,Haldiram Khatta Meetha 350g,"[""101306.jpg"",""101306-1.jpg"",""101306-2.jpg"",""101306-3.jpg"","" "",]",65,63,3,1,5,43,1,0,1,350,0,0,0,0,0,0,0,0,,,,20/12/2050,0,0,5,4,1,0,[],0,0,6008|1422|1458,1102
101316,49,101316.jpg,Haldiram Mixture 350g,"[""101316.jpg"",""101316-1.jpg"",""101316-2.jpg"",""101316-3.jpg"","" "",]",65,63,3,1,5,43,1,0,1,350,0,0,0,0,0,0,0,0,,,,20/12/2050,0,1,5,4,1,0,[],0,0,6009|1302|1422,0
101360,49,101360.jpg,Vicks Vaporub Ointment 10 g (Pack Of 12),"[""101360.jpg"",""101360-1.jpg"",""101360-2.jpg"",""101360-3.jpg"","" "",]",456,400,12,1,6,105,1,0,1,10,0,0,0,0,0,0,0,0,,,,20/12/2050,0,1,5,4,1,0,[],0,0,6010|845|847,0
101401,49,101401.jpg,Haldiram Moong Dal 400G,"[""101401.jpg"",""101401-1.jpg"",""101401-2.jpg"",""101401-3.jpg"","" "",]",100,95,5,1,5,43,1,0,1,25,0,0,0,0,0,0,0,0,,,,20/12/2050,0,1,5,4,1,0,[],0,5,6011|1422|1466,713
