nothing,id,store_id,cover,name,images,original_price,sell_price,discount,kind,cate_id,sub_cate_id,in_home,is_single,have_gram,gram,have_kg,kg,have_pcs,pcs,have_liter,liter,have_ml,ml,descriptions,key_features,disclaimer,exp_date,type_of,in_stoke,rating,total_rating,status,in_offer,variations_types,size,tax_class,tags,hsn_code,brand_id
0,101030,49,101030.jpg,Germisol Black Phenyl 5 L,"[""101030.jpg"",""101030-1.jpg"",""101030-2.jpg"",""101030-3.jpg"","" "",]",585,558,5,1,7,20,0,0,0,0,0,0,0,0,1,5,0,0,,,,20/12/2050,0,0,5,4,1,0,[],0,18,6005|1078|1079,0,272
0,101165,49,101165.jpg,Tide Plus Detergent Powder (2 kg),"[""101165.jpg"",""101165-1.jpg"",""101165-2.jpg"",""101165-3.jpg"","" "",]",215,208,4,1,7,50,0,0,0,0,1,2,0,0,0,0,0,0,,,,20/12/2050,0,1,5,4,1,0,[],0,18,12595|6006|1066|1003,1234,762
0,101584,49,101584.jpg,Origami godya Tissue Roll(200Pc),"[""101584.jpg"",""101584-1.jpg"",""101584-2.jpg"",""101584-3.jpg"","" "",]",310,268,14,1,7,114,0,0,0,0,0,0,1,200,0,0,0,0,,,,20/12/2050,0,1,5,4,1,0,[],0,18,6013|1055|1053|1007,4818,561
0,101735,49,101735.jpg,Premier Facial Tissue Hanky Pack (Pack Of 10),"[""101735.jpg"",""101735-1.jpg"",""101735-2.jpg"",""101735-3.jpg"","" "",]",150,144,4,1,6,106,0,0,0,0,0,0,1,10,0,0,0,0,,,,20/12/2050,0,0,5,4,1,0,[],0,18,6014|1055,0,611
0,103551,49,103551.jpg,Gala Clip N Fit Mop Refill1 Pc,"[""103551.jpg"",""103551-1.jpg"",""103551-2.jpg"",""103551-3.jpg"","" "",]",420,386,9,1,7,52,0,0,0,0,0,0,1,1,0,0,0,0,,,,20/12/2050,0,1,5,4,1,0,[],0,18,6047|1056,9603,267
0,106599,49,106599.jpg,Maya A.Bathi Rose 20grm PK 12,"[""106599.jpg"",""106599-1.jpg"",""106599-2.jpg"",""106599-3.jpg"","" "",]",120,114,5,1,7,53,0,0,1,20,0,0,0,0,0,0,0,0,,,,20/12/2050,0,1,5,4,1,0,[],0,18,6083|1130,0,468
0,106600,49,106600.jpg,Maya A.Bathi Jasmne 22 gm PK12,"[""106600.jpg"",""106600-1.jpg"",""106600-2.jpg"",""106600-3.jpg"","" "",]",120,114,5,1,7,53,0,0,1,22,0,0,0,0,0,0,0,0,,,,20/12/2050,0,1,5,4,1,0,[],0,18,6084|1130,0,468
0,107800,49,107800.jpg,Hit Cocroach Seek N Kill 320ml,"[""107800.jpg"",""107800-1.jpg"",""107800-2.jpg"",""107800-3.jpg"","" "",]",172,167,3,1,7,51,0,0,0,0,0,0,0,0,0,0,1,32,,,,20/12/2050,0,1,5,4,1,0,[],0,18,6088|1108|1109,3808,327
0,107803,49,107803.jpg,Hit Crawling Insect Killer Kills Cockroaches 400 ml,"[""107803.jpg"",""107803-1.jpg"",""107803-2.jpg"",""107803-3.jpg"","" "",]",189,179,6,1,7,51,0,0,0,0,0,0,0,0,0,0,1,400,,,,20/12/2050,0,1,5,4,1,0,[],0,18,6089|1108|1109,3808,327
0,118009,49,118009.jpg,Aro Toilet Roll 200 Pc (Pack of 12),"[""118009.jpg"",""118009-1.jpg"",""118009-2.jpg"",""118009-3.jpg"","" "",]",399,335,17,1,7,114,0,0,0,0,0,0,1,200,0,0,0,0,,,,20/12/2050,0,1,5,4,1,0,[],0,18,6095|1045|1011,4818,46
