id,original_price,sell_price,variations_types,stocks,size
249951,132,120,1000|500|2000,100,1
250122,99,90,1000|500|2000,100,1
250103,121,110,1000|500|2000,100,1
250110,110,100,1000|500|2000,100,1
250174,242,220,1000|500|2000,100,1
250624,242,220,[],100,0
279427,229,208,[],100,0
249882,87,79,1000|500|2000,0,1
249965,77,70,[],100,0
250223,121,110,1000|500|2000,0,1
250222,72,65,[],100,0
SB0039,253,230,1000|500,0,1
250231,99,90,1000|500|2000,0,1
250116,39,35,1000|500|2000,100,1
SB0037,193,175,[],0,0
249961,219,199,1000|500|2000,100,1
249944,329,299,1000|500|2000,100,1
350486,165,150,[],0,0
250133,193,175,[],100,0
SB0089,88,80,500|1000|2000|3000|4000,0,1
249877,72,65,1000|500|2000,100,1
250077,94,85,[],100,0
250078,72,65,[],0,0
250095,105,95,[],100,0
249889,204,185,1000|500|2000,100,1
250145,385,350,1000|500|2000,0,1
249963,297,270,1000|500|2000,0,1
249926,264,240,1000|500|2000,0,1
350478,330,300,1000|500|2000,0,1
250215,110,100,500|1000|2000|3000|4000,0,1
338005,352,320,500|1000|2000,100,1
403952,270,245,[],0,0
298938,40,36,[],100,0
285818,360,327,1000|500|2000,0,1
249953,142,129,1000|500|2000,0,1
250216,209,190,1000|500|2000,0,1
368287,55,50,[],0,0
279433,327,297,1000|500|2000,100,1
250200,88,80,[],0,0
250205,325,295,[],0,0
250219,110,100,1000|500|2000,0,1
340409,109,99,1000|2000,0,1
398436,154,140,[],0,0
388437,105,95,[],0,0
250406,193,175,1000|2000,100,1
249885,146,132,1000|500|2000,0,1
253355,193,175,[],100,0
317850,76,69,[],0,0
368273,99,90,[],100,0
250193,165,150,[],0,0
368288,429,390,[],0,0
SB0040,86,78,[],0,0
SB0041,242,220,500|1000|2000,0,1
SB0043,248,225,1000|500|2000,0,1
SB0042,209,190,1000|500|2000,0,1
250383,132,120,1000|500|2000,0,1
SB0038,108,98,[],0,0
SB0069,301,273,500|1000|2000,0,1
350487,363,330,250|500|1000|2000,0,1
SB0076,303,275,250|500|1000|2000,0,1
SB0080,121,110,500|1000|2000|3000|4000,0,1
SB0052,132,120,500|1000|2000|3000|4000,0,1
SB0081,220,200,500|1000|2000|3000|4000,0,1
SB0082,165,150,500|1000|2000|3000|4000,0,1
SB0084,121,110,500|1000|2000|3000|4000,0,1
SB0085,219,199,500|1000|2000|3000|4000,0,1
SB0086,209,190,500|1000|2000|3000|4000,0,1
SB0087,121,110,500|1000|2000|3000|4000,0,1
SB0088,55,50,500|1000|2000|3000|4000,0,1
SB0090,121,110,500|1000|2000|3000|4000,0,1
249415,121,110,500|1000|2000|3000|4000,0,1
249959,248,225,500|1000|2000|3000|4000,0,1
250196,121,110,500|1000|2000|3000|4000,0,1
368187,121,110,500|1000|2000|3000|4000,0,1
368284,61,55,500|1000|2000|3000|4000,0,1
368277,121,110,500|1000|2000|3000|4000,0,1
405152,92,83,1000|500|2000,0,1
405143,61,55,[],0,0
250667,198,180,1000|500|250,100,1
250658,193,175,1000|500|2000,100,1
405202,215,195,1000|500|2000,100,1
250645,242,220,1000|500|2000,100,1
250647,121,110,[],100,0
277862,55,50,[],0,0
357258,66,60,[],100,0
250662,154,140,1000|500|2000,0,1
250538,138,125,1000|500|250,0,1
307012,44,40,[],0,0
307011,39,35,[],100,0
307009,39,35,[],100,0
307010,36,32,[],0,0
277865,36,32,1000|500|2000,0,1
250631,187,170,250|500|1000,100,1
250664,242,220,[],100,0
250665,242,220,[],100,0
368136,53,48,[],100,0
251150,28,25,[],100,0
250638,330,300,1000|500|2000,100,1
250656,187,170,[],100,0
250657,94,85,[],0,0
250634,219,199,1000|500|2000,100,1
250635,219,199,1000|500|2000,100,1
250660,198,180,1000|500|2000,180,1
277860,61,55,[],100,0
250659,152,138,1000|500|2000,0,1
342749,88,80,[],0,0
250625,143,130,1000|500|250,0,1
368181,55,50,[],0,0
250626,94,85,[],0,0
250505,66,60,[],100,0
250528,86,78,[],100,0
250591,53,48,[],100,0
250511,40,36,[],100,0
252663,27,24,[],100,0
250679,39,35,[],0,0
250680,33,30,[],100,0
250685,33,30,[],100,0
SB0070,33,30,[],100,0
250683,33,30,[],100,0
250687,33,30,[],100,0
250689,33,30,[],100,0
250569,39,35,[],100,0
250607,49,44,1000|500|2000,100,1
250931,50,45,[],100,0
250608,32,29,1000|500|2000,100,1
250438,58,52,1000|500|2000,100,1
250457,39,35,1000|500|250,0,1
250457,54,49,1000|500|250,100,1
250443,50,45,[],100,0
273395,61,55,1000|500|2000,0,1
250641,66,60,1000|500|250,100,1
250462,76,69,1000|500|2000,100,1
250561,66,60,1000|500,100,1
250445,66,60,1000|500|250,0,1
261478,135,122,1000|500|250,100,1
250554,66,60,1000|500|2000,100,1
250474,55,50,1000|500|250,100,1
250543,132,120,1000|500|250,100,1
250574,69,62,1000|500|2000,100,1
250465,69,62,1000|500|250,100,1
250468,83,75,1000|500|250,100,1
250492,66,60,1000|500|250,0,1
250417,44,40,1000|500|2000,100,1
250521,31,28,[],100,0
347642,161,146,1000|500|2000,100,1
250490,121,110,1000|500|250,0,1
250437,36,32,500|1000|2000,100,1
250440,30,27,1000|500|2000,100,1
250539,50,45,1000|500|2000,100,1
250549,22,20,[],100,0
250545,22,20,[],100,0
250553,72,65,1000|500|2000,100,1
250600,47,42,[],0,0
250570,39,35,1000|500|2000,0,1
250930,66,60,1000|500|2000,0,1
250609,44,40,1000|500|2000,0,1
250611,66,60,[],100,0
250604,99,90,[],100,0
250544,61,55,[],100,0
250586,66,60,1000|500|2000,100,0
250512,60,54,1000|2000,100,1
250509,77,70,1000|2000,0,1
250615,14,12,[],0,0
SB0068,110,100,1000|2000,0,1
250531,66,60,1000|500|250,100,1
250547,21,19,[],0,0
250485,141,128,500|1000|2000,0,1
250536,88,80,1000|500|250,100,1
279522,52,47,1000|500|2000,0,1
250507,66,60,[],0,0
368197,88,80,[],0,0
261662,68,61,[],0,0
SB0077,39,35,500|1000|2000,0,1
106367,724,499,1000|2000|3000,100,1
106224,1595,1100,1000|2000|3000,0,1
106227,1232,849,1000|2000|3000,0,1
106244,1304,899,[],100,0
134262,1159,799,1000|2000|3000,100,1
277174,1594,1099,500|1000|2000|3000|4000,100,1
SB0094,4349,2999,500|1000|2000|3000,0,1
106271,579,399,1000|2000|3000,100,1
106312,579,399,1000|2000|3000|4000,0,1
SB0078,579,399,1000|2000,100,1
106268,724,499,1000|2000|3000|4000,100,1
106220,289,199,1000|2000|3000,100,1
246792,275,189,[],100,0
107449,289,199,1000|2000|3000,100,1
107443,347,239,[],100,0
106254,1087,749,500|1000|2000|3000|4000,100,1
106316,507,349,500|1000|2000|3000|4000,0,1
106261,724,499,500|1000|2000|3000|4000,0,1
106369,1957,1349,500|1000|2000|3000|4000,0,1
106384,695,479,500|1000|2000|3000|4000,100,1
106306,797,549,500|1000|2000|3000|4000,0,1
SB0091,869,599,1000|2000|3000|4000,0,1
106374,797,549,[],0,0
107558,246,169,1000|2000|3000,100,1
106235,681,469,500|1000|2000|3000|4000,0,1
106288,942,649,500|1000|2000|3000|4000,0,1
107563,260,179,500|1000|2000|3000|4000,100,1
106216,391,269,500|1000|2000|3000|4000,0,1
SB0079,652,449,500|1000|2000|3000|4000,0,1
SB0092,362,249,500|1000|2000|3000,0,1
SB0095,360,248,[],0,0
SB0096,1884,1299,500|1000|2000|3000,0,1
146624,1000,689,1000|2000|3000,100,1
146620,1014,699,1000|2000|3000,100,1
326807,1290,889,1000|2000|3000,100,1
SB0067,1526,1052,1000|2000|3000,0,1
SB0066,2255,1555,1000|2000|3000,0,1
146675,536,369,[],0,0
326815,2255,1555,1000|2000|3000,0,1
SB0064,2255,1555,1000|2000|3000,0,1
326812,298,205,[],0,0
101678,652,449,500|1000|2000|3000|4000,0,1
102592,463,319,1000|2000|3000,0,1
319569,509,351,[],0,0
334392,478,329,1000|2000|3000,0,1
102582,565,389,1000|2000|3000,0,1
319957,521,359,1000|2000|3000,0,1
102587,565,389,1000|2000|3000,0,1
128069,347,239,[],100,0
102590,391,269,1000|2000|3000,0,1
102615,362,249,1000|2000|3000,0,1
SB0065,823,567,1000|2000|3000,0,1
270201,749,516,1000|2000|3000,0,1
208647,159,109,500|1000|2000|3000,0,1
102596,144,99,500|1000|2000|3000,0,1
128329,333,229,[],100,0
SB0093,356,245,500|1000|2000|3000,0,1
342122,1116,769,500|1000|2000|3000,0,1
127123,696,480,500|1000|2000|3000,0,1
288052,550,379,500|1000|2000|3000,0,1
328035,360,248,500|1000|2000|3000,0,1
394857,666,459,[],0,0
SB0001,61,59,500|1000|2000|3000|4000|5000,100,1
SB0002,35,33,500|1000|2000|3000|4000|5000,100,1
SB0004,105,100,500|1000|2000|3000|4000|5000,0,1
SB0005,76,71,500|1000|2000|3000|4000|5000,100,1
SB0006,160,149,500|1000|2000|3000|4000|5000,0,1
SB0007,57,54,500|1000|2000|3000|4000|5000,100,1
SB0008,44,41,500|1000|2000|3000|4000|5000,0,1
SB0009,285,266,100|200|300|400|500|600|700|800|900|1000,100,1
SB0010,396,369,500|1000|2000|3000|4000|5000,0,1
SB0011,43,40,500|1000|2000|3000|4000|5000,100,1
SB0012,136,127,500|1000|2000|3000|4000|5000,100,1
SB0013,80,75,500|1000|2000|3000|4000|5000,100,1
SB0014,117,109,500|1000|2000|3000|4000|5000,100,1
SB0015,61,57,500|1000|2000|3000|4000|5000,100,1
SB0016,108,101,500|1000|2000|3000|4000|5000,0,1
SB0017,116,108,500|1000|2000|3000|4000|5000,100,1
SB0018,84,79,500|1000|2000|3000|4000|5000,100,1
SB0019,131,122,500|1000|2000|3000|4000|5000,100,1
SB0020,91,85,500|1000|2000|3000|4000|5000,100,1
SB0021,142,133,500|1000|2000|3000|4000|5000,100,1
SB0022,88,82,500|1000|2000|3000|4000|5000,100,1
SB0023,153,143,500|1000|2000|3000|4000|5000,100,1
SB0024,127,119,500|1000|2000|3000|4000|5000,100,1
SB0026,149,139,500|1000|2000|3000|4000|5000,0,1
SB0027,202,188,500|1000|2000|3000|4000|5000,0,1
SB0028,130,121,500|1000|2000|3000|4000|5000,100,1
SB0029,103,96,500|1000|2000|3000|4000|5000,100,1
SB0030,103,96,500|1000|2000|3000|4000|5000,100,1
SB0031,35,33,500|1000|2000|3000|4000|5000,100,1
SB0032,101,94,500|1000|2000|3000|4000|5000,0,1
SB0033,47,44,500|1000|2000|3000|4000|5000,100,1
SB0034,141,132,500|1000|2000|3000|4000|5000,100,1
SB0035,47,44,500|1000|2000|3000|4000|5000,100,1
SB0003,44,41,500|1000|2000|3000|4000|5000,0,1
SB0025,44,41,500|1000|2000|3000|4000|5000,100,1
SB0036,98,92,500|1000|2000|3000|4000|5000,100,1
SB0071,55,52,1000|2000|3000|4000|5000,100,1
SB0072,93,87,1000|2000|3000|4000|5000,0,1
SB0073,273,254,500|1000|2000|3000|4000,0,1
SB0074,43,40,500|1000|2000|3000|4000,0,1
SB0075,127,119,500|1000|2000|3000|4000,100,1
358846,160,149,500|1000|2000|3000|4000,0,1
289973,1044,971,250|500|1000|2000|3000,100,1
410561,989,920,250|500|1000|2000|3000,0,1
410563,114,107,250|500|1000|2000|3000,100,1
410564,2419,2250,250|500|1000|2000|3000,0,1
410571,435,405,250|500|1000|2000|3000,100,1
410572,128,120,250|500|1000|2000|3000,0,1
410574,261,246,250|500|1000|2000|3000,100,1
410576,308,287,250|500|1000|2000|3000,100,1
410577,230,214,250|500|1000|2000|3000,100,1
410583,879,818,250|500|1000|2000|3000,100,1
410585,401,373,250|500|1000|2000|3000,100,1
410567,1006,936,250|500|1000|2000|3000,100,1
422452,1518,1412,250|500|1000|2000|3000,0,1
410400,220,205,250|500|1000|2000|3000,100,1
336901,616,573,250|500|1000|2000,100,1
410569,203,189,250|500|1000|2000,100,1
316384,2503,2328,250|500|1000|2000,100,1
335697,1249,1162,250|500|1000|2000,100,1
285296,352,328,250|500|1000|2000,100,1
308034,329,306,250|500|1000|2000,100,1
335695,1254,1167,250|500|1000|2000,0,1
285273,934,869,250|500|1000|2000,100,1
285280,824,767,250|500|1000|2000,100,1
285283,704,655,250|500|1000|2000,100,1
285314,401,373,250|500|1000|2000,0,1
285284,765,712,250|500|1000|2000,100,1
346287,396,369,250|500|1000|2000,100,1
346286,396,369,250|500|1000|2000,100,1
346284,220,205,250|500|1000|2000,100,1
346288,297,277,250|500|1000|2000,100,1
346285,220,205,250|500|1000|2000,100,1
409905,130,108,[],0,0
409904,75,65,[],0,0
294904,129,120,[],100,0
271205,79,74,[],100,0
423838,120,112,[],0,0
423837,120,112,[],0,0
423839,90,84,[],100,0
423840,95,90,[],100,0
409906,85,76,[],100,0
409907,90,80,[],100,0
409909,40,37,[],100,0
409908,45,41,[],100,0
279587,378,363,[],100,0
379550,80,78,[],100,0
279588,82,80,[],100,0
421398,75,61,[],0,0
421400,85,70,[],0,0
345689,99,72,[],100,0
422857,430,370,[],0,0
422650,100,80,[],0,0
214022,400,364,[],0,0
423016,100,90,[],100,0
410617,75,70,[],0,0
428637,450,338,[],0,0
264679,120,111,[],100,0
137575,495,436,[],100,0
269370,290,273,[],100,0
374382,115,112,[],100,0
413533,85,72,[],0,0
270621,340,317,[],100,0
270620,85,80,[],100,0
316326,80,74,[],100,0
358518,45,45,[],0,0
213240,37,37,[],0,0
213239,19,19,[],0,0
213245,22,22,[],0,0
213243,22,22,[],0,0
213244,43,43,[],0,0
320297,18,18,[],100,0
320296,37,37,[],100,0
342755,90,89,[],0,0
402739,474,337,[],100,0
393278,425,387,[],100,0
274124,90,83,[],100,0
274120,165,162,[],100,0
274125,910,792,[],100,0
377685,75,74,[],0,0
387458,89,88,[],0,0
387461,156,153,[],0,0
388234,60,41,[],0,0
392921,269,264,[],100,0
392922,139,133,[],100,0
405487,110,74,[],0,0
409457,435,414,[],0,0
424739,124,107,[],100,0
424740,410,357,[],100,0
424741,84,73,[],100,0
424742,355,309,[],100,0
424743,74,68,[],100,0
428354,220,190,[],0,0
428357,130,106,[],100,0
430614,85,81,[],100,0
276756,215,194,[],0,0
271384,110,98,[],0,0
271379,210,179,[],0,0
241538,66,61,[],100,0
126903,301,262,[],0,0
124656,295,272,[],100,0
243991,63,58,[],0,0
