nothing,id,store_id,cover,name,images,original_price,sell_price,discount,kind,cate_id,sub_cate_id,in_home,is_single,have_gram,gram,have_kg,kg,have_pcs,pcs,have_liter,liter,have_ml,ml,descriptions,key_features,disclaimer,exp_date,type_of,in_stoke,rating,total_rating,status,in_offer,variations_types,size,tax_class,tags,hsn_code,brand_id
0,100012,49,100012.jpg,"McCain French Fries Regular Pack, 420g","[""100012.jpg"",""100012-1.jpg"",""100012-2.jpg"",""100012-3.jpg"","" "",]",100,98,2,1,5,103,0,0,1,420,0,0,0,0,0,0,0,0,,,,20/12/2050,0,1,5,4,1,0,[],0,18,6002|1491,0,470
0,101263,49,101263.jpg,Haldiram All In One 350g,"[""101263.jpg"",""101263-1.jpg"",""101263-2.jpg"",""101263-3.jpg"","" "",]",90,88,3,1,5,43,0,0,1,350,0,0,0,0,0,0,0,0,,,,20/12/2050,0,1,5,4,1,0,[],0,18,6007|1422|1448,0,304
0,101306,49,101306.jpg,Haldiram Khatta Meetha 350g,"[""101306.jpg"",""101306-1.jpg"",""101306-2.jpg"",""101306-3.jpg"","" "",]",65,64,2,1,5,43,0,0,1,350,0,0,0,0,0,0,0,0,,,,20/12/2050,0,1,5,4,1,0,[],0,18,6008|1422|1458,1102,304
0,101316,49,101316.jpg,Haldiram Mixture 350g,"[""101316.jpg"",""101316-1.jpg"",""101316-2.jpg"",""101316-3.jpg"","" "",]",74,72,3,1,5,43,0,0,1,350,0,0,0,0,0,0,0,0,,,,20/12/2050,0,1,5,4,1,0,[],0,18,6009|1302|1422,0,304
0,101401,49,101401.jpg,Haldiram Moong Dal 400G,"[""101401.jpg"",""101401-1.jpg"",""101401-2.jpg"",""101401-3.jpg"","" "",]",100,95,5,1,5,43,0,0,1,400,0,0,0,0,0,0,0,0,,,,20/12/2050,0,1,5,4,1,0,[],0,18,6011|1422|1466,713,304
0,101489,49,101489.jpg,Mccain Smileys 415g,"[""101489.jpg"",""101489-1.jpg"",""101489-2.jpg"",""101489-3.jpg"","" "",]",115,113,2,1,5,103,0,0,1,415,0,0,0,0,0,0,0,0,,,,20/12/2050,0,1,5,4,1,0,[],0,18,6012|1491,0,470
0,102083,49,102083.jpg,Parle G Biscuit (55 g + 10 g Pack Of 24),"[""102083.jpg"",""102083-1.jpg"",""102083-2.jpg"",""102083-3.jpg"","" "",]",120,115,5,1,5,38,0,0,1,70,0,0,0,0,0,0,0,0,,,,20/12/2050,0,1,5,4,1,0,[],0,18,1730|11982|227|1356,1234,582
0,102093,49,102093.jpg,"Parle G Biscuit 40g, Pack of 24","[""102093.jpg"",""102093-1.jpg"",""102093-2.jpg"",""102093-3.jpg"","" "",]",72,69,5,1,5,38,0,0,1,40,0,0,0,0,0,0,0,0,,,,20/12/2050,0,1,5,4,1,0,[],0,18,1729|11982|227|1356,1905,582
0,102102,49,102102.jpg,Parle G Biscuit 800 g,"[""102102.jpg"",""102102-1.jpg"",""102102-2.jpg"",""102102-3.jpg"","" "",]",75,72,4,1,5,38,0,0,1,800,0,0,0,0,0,0,0,0,,,,20/12/2050,0,1,5,4,1,0,[],0,18,1728|11982|227|1356,1234,582
0,102533,49,102533.jpg,"Britannia good Day Cashew Cookies(100g, Pack Of 60)","[""102533.jpg"",""102533-1.jpg"",""102533-2.jpg"",""102533-3.jpg"","" "",]",1200,1179,2,1,5,38,0,0,1,100,0,0,0,0,0,0,0,0,,,,20/12/2050,0,1,5,4,1,0,[],0,18,12615|12614|6025|1307|1310|1334|12412,1234,104
