id,original_price,sell_price,variations_types,stocks,size
263699,90,82,[],0,0
267276,1350,770,[],100,0
267277,1350,905,[],100,0
275236,299,201,[],100,0
277136,86,70,[],0,0
277142,93,85,[],100,0
284264,65,38,[],100,0
284272,65,38,[],100,0
284301,65,38,[],100,0
284308,65,38,[],100,0
284317,56,32,[],100,0
284319,67,39,[],100,0
284344,50,29,[],100,0
284698,82,47,[],100,0
302774,5500,2860,[],100,0
307939,310,252,[],100,0
307943,310,162,[],100,0
308106,99,91,[],0,0
321324,170,155,[],0,0
326624,2600,1352,[],100,0
330469,1400,938,[],100,0
339195,350,235,[],0,0
345202,190,154,[],100,0
345204,190,171,[],100,0
345205,190,154,[],100,0
346188,120,104,[],0,0
356608,86,79,[],0,0
356612,86,70,[],0,0
356613,86,79,[],100,0
376584,235,214,[],100,0
376908,115,105,[],100,0
381846,280,227,[],0,0
382049,999,430,[],100,0
382050,700,469,[],100,0
383630,350,182,[],100,0
384205,1099,627,[],100,0
386222,499,215,[],100,0
387890,750,608,[],100,0
387892,375,274,[],100,0
387893,700,399,[],100,0
387894,700,567,[],100,0
401856,3900,2028,[],100,0
401857,3999,1720,[],100,0
401858,2899,1247,[],100,0
408984,375,274,[],0,0
409815,699,567,[],100,0
409816,699,567,[],100,0
409818,1149,931,[],100,0
409819,1149,931,[],100,0
409820,1149,931,[],100,0
409824,200,114,[],100,0
409838,899,387,[],100,0
412256,1149,931,[],100,0
413260,199,182,[],100,0
419777,150,86,[],100,0
420446,199,104,[],100,0
420450,299,129,[],100,0
422302,315,164,[],100,0
423143,699,567,[],100,0
423167,100,57,[],0,0
423168,205,117,[],100,0
423170,165,95,[],100,0
423825,2500,850,[],0,0
424581,120,69,[],100,0
424839,2700,1404,[],100,0
284269,75,43,[],100,0
284340,54,31,[],0,0
420463,50,29,[],100,0
420464,30,18,[],100,0
284332,67,39,[],0,0
421486,190,154,[],100,0
408175,699,567,[],100,0
427657,299,171,[],100,0
426652,799,416,[],100,0
421625,69,40,[],100,0
380159,590,431,[],100,0
424239,225,117,[],100,0
424238,225,117,[],100,0
424240,225,117,[],100,0
424237,225,117,[],100,0
424242,225,117,[],100,0
424241,225,117,[],100,0
416980,160,92,[],100,0
416979,160,92,[],0,0
419821,185,150,[],100,0
311545,150,137,[],100,0
424060,60,57,[],100,0
424061,60,57,[],100,0
413148,189,186,[],0,0
413149,199,182,[],0,0
421461,109,94,[],0,0
364845,2999,1290,[],100,0
261374,2500,1675,[],100,0
276757,235,158,[],100,0
276758,2820,1890,[],100,0
423166,135,77,[],100,0
423163,135,77,[],0,0
422299,75,39,[],100,0
424593,265,152,[],100,0
417757,410,214,[],100,0
321323,170,155,[],0,0
392682,30,22,[],0,0
368742,110,95,[],0,0
273497,550,369,[],100,0
273494,550,369,[],100,0
273496,550,369,[],100,0
400689,299,156,[],100,0
424388,99,73,[],0,0
415290,149,109,[],0,0
422398,550,314,[],100,0
344757,50,48,[],100,0
356424,99,91,[],0,0
410712,1899,817,[],100,0
405272,180,103,[],100,0
267629,140,103,[],100,0
394869,800,272,[],0,0
394936,1900,817,[],100,0
310859,70,40,[],100,0
424566,250,168,[],100,0
394867,400,172,[],100,0
386223,499,335,[],0,0
277139,120,104,[],0,0
428020,320,276,[],100,0
390706,180,103,[],100,0
390307,155,89,[],100,0
423158,105,60,[],100,0
101584,310,177,[],100,0
401409,50,29,[],0,0
418768,225,129,[],100,0
418770,225,129,[],100,0
418769,250,143,[],100,0
284787,75,43,[],100,0
284265,80,46,[],100,0
284304,95,55,[],100,0
417720,225,151,[],100,0
419438,345,314,[],100,0
279803,80,65,[],0,0
300791,300,243,[],100,0
300847,300,243,[],100,0
412210,290,166,[],100,0
422301,50,26,[],100,0
424592,140,73,[],0,0
400691,299,156,[],100,0
400692,299,156,[],100,0
422900,329,188,[],100,0
422721,349,199,[],100,0
409864,349,199,[],100,0
409878,349,199,[],100,0
409876,349,199,[],100,0
419026,310,162,[],100,0
425713,1000,340,[],100,0
