id,original_price,sell_price,variations_types,stocks,size
251150,22,20,[],100,0
250543,132,120,1000|500|250,0,1
249961,275,250,1000|500|2000,100,1
249963,275,250,1000|500|2000,100,1
250624,330,300,[],100,0
250554,55,50,1000|500|2000,100,1
250474,94,85,1000|500|250,0,1
250457,50,45,1000|500|250,0,1
250465,66,60,1000|500|250,100,1
250680,28,25,[],0,0
250133,363,330,1000|500|2000,100,1
250174,193,175,1000|500|2000,100,1
250528,99,90,[],100,0
250539,66,60,1000|500|250,0,1
250077,97,87.5,[],100,0
249961,303,275,1000|500|2000,100,1
249963,319,290,1000|500|2000,100,1
252663,31,28,[],100,0
250440,19,17,1000|500|2000,100,1
250174,204,185,1000|500|2000,100,1
