id,original_price,sell_price,variations_types,stocks,size
Aavante Bar 1280,13990,13990,[],26,0
FNKEFREW6H15SDST,1430,1430,[],26,0
KMMIX50N3SDBB,3445,3445,[],26,0
KNZES10T1PDBM,990,990,[],26,0
KNZES10R1PDBM,990,990,[],26,0
KNGLP10W1MDBM,875,875,[],26,0
603,220,220,[],26,0
678-104-A,899,899,[],26,0
HE0603-04,2099,2099,[],26,0
27O (0) 08 001,7500,7500,[],26,0
LD1 (0) 01 003,10350,10350,[],26,0
5587111408,3940,3940,[],26,0
3576310405,5990,5990,[],26,0
2728640417,6020,6020,[],26,0
FX1 (0) 09 101,8800,8800,[],26,0
24N (0) 09 003,9500,9500,[],26,0
FD7 (0) 09 001,3600,3600,[],26,0
KKOLL10C1SCLW,1740,1740,[],26,0
FNKEFUMG3H22SDST,1520,1520,[],26,0
Ujjwal Plus,1900,1900,[],26,0
KKB10C3PDBH,1270,1270,[],26,0
GNM002,9999,9999,[],26,0
GNM003,4499,4499,[],26,0
SN95,995,995,[],26,0
NATLOXY,2499,2499,[],100,0
41269,2495,2495,[],26,0
HL1631/00,4295,4295,[],26,0
HD4929/01,4695,4695,[],26,0
FESCVC,3599,3599,[],26,0
FTNVC,4100,4100,[],26,0
FLV,3490,3490,[],26,0
36806,2370,2370,[],26,0
36314,1120,1120,[],26,0
30731,970,970,[],26,0
30731,970,970,[],26,0
41767,745,745,[],26,0
36301,1080,1080,[],26,0
30712,910,910,[],26,0
GC1920/28,2345,2345,[],26,0
41971,5695,5695,[],26,0
HDER695238M3,5375,5375,[],26,0
HDES798078M3,5375,5375,[],26,0
HDES798106M3,5375,5375,[],26,0
HDES798019M3,5375,5375,[],26,0
HEFQ068096M4,5375,5375,[],26,0
HDES798106M3,5375,5375,[],26,0
HDES798106M3,5375,5375,[],26,0
HEFQ068083M4,5375,5375,[],26,0
S96920,599,599,[],50,0
CY6240,499,499,[],50,0
5995202459,9500,9500,[],26,0
3555431416,5330,5330,[],26,0
5617606406,2590,2590,[],26,0
7737202156,11000,11000,[],26,0
HXDC517095N2,3390,3390,[],26,0
DM7787,3599,3599,[],100,0
FNKTTAVL3H40SDST,2790,2790,[],26,0
FNKCCOAB3B12ADAG,2050,2050,[],26,0
WEL016,2999,2999,[],26,0
WEL007,3499,3499,[],26,0
WEL004,2299,2299,[],26,0
HTL1045,9990,9990,[],26,0
19020B,1299,1299,[],26,0
PC92-B,449,449,[],26,0
KRMPR18W2SCJJ,2960,2960,[],26,0
MMS6080B,6490,6490,[],26,0
30726,970,970,[],26,0
35037,390,390,[],26,0
AP12WL,925,925,[],26,0
HDFD765018M3,5375,5375,[],26,0
LX175,1049,1049,[],26,0
RAT011,599,599,[],26,0
BF-630A-A,1899,1899,[],26,0
32PHT5813S,34990,34990,[],26,0
32PHT5505,19990,19990,[],26,0
SUJ001,7308,7308,[],26,0
41215,5195,5195,[],26,0
