id,original_price,sell_price,variations_types,stocks,size
249926,275,250,1000|500|2000,100,1
249944,253,230,1000|500|2000,100,1
249961,303,275,1000|500|2000,100,1
249963,253,230,1000|500|2000,100,1
250624,275,250,[],100,0
250625,132,120,1000|500|2000,100,1
250122,76,69,1000|500|2000,100,1
250641,72,65,1000|500|250,100,1
250554,29,26,1000|500|2000,100,1
250561,26,23,1000|500,100,1
403952,297,270,[],100,0
250569,27,24,[],100,0
250468,39,35,1000|500|250,100,1
279427,286,260,1000|500|2000,100,1
250511,75,68,[],100,0
279433,319,290,1000|500|2000,100,1
249882,50,45,1000|500|2000,100,1
250095,99,90,[],100,0
253355,341,310,1000|500|2000,100,1
250174,220,200,1000|500|2000,100,1
250528,35,31,500|1000|2000|3000,100,1
250607,33,30,1000|500|2000,100,1
250608,29,26,1000|500|2000,100,1
338005,286,260,500|1000|2000,100,1
